step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
127,0.9997383046,0.9997359943,0.9997406120,0.3689781322,0.3632752990,0.3743944339,0.3666057563,24654.9707986323,0.9997383046,0.0177768401,
128,0.9997440720,0.9997406158,0.9997477570,0.3685146119,0.3630246136,0.3737459676,0.3661879029,35216.7163756879,0.9997440720,0.0159825822,
129,0.9997499847,0.9997475080,0.9997521582,0.3685998410,0.3635195422,0.3731790218,0.3663178621,36221.5041759237,0.9997499847,0.0179341727,
130,0.9997528338,0.9997502251,0.9997558994,0.3675838776,0.3622640018,0.3723053045,0.3653247412,19968.4038196945,0.9997528338,0.0148985476,
131,0.9997566978,0.9997546129,0.9997584600,0.3671954952,0.3614460083,0.3724539105,0.3649675000,38172.1267366282,0.9997566978,0.0170388874,
132,0.9997586409,0.9997563901,0.9997602830,0.3670122047,0.3611978526,0.3723786912,0.3648039919,17509.3346524556,0.9997586409,0.0147759514,
133,0.9997611030,0.9997604303,0.9997620440,0.3657803919,0.3602133737,0.3712053175,0.3635958751,31113.7705427615,0.9997611030,0.0177427847,
134,0.9997636342,0.9997626238,0.9997646208,0.3652566334,0.3590138878,0.3712459134,0.3630928071,23177.5118510564,0.9997636342,0.0155332098,
135,0.9997665087,0.9997651806,0.9997681446,0.3647262796,0.3585564302,0.3703980941,0.3625867571,26603.5432435544,0.9997665087,0.0134219124,
136,0.9997696741,0.9997661352,0.9997735338,0.3642847878,0.3585802441,0.3695735621,0.3621720074,35823.8789293162,0.9997696741,0.0142179982,
137,0.9997733013,0.9997707615,0.9997764015,0.3640395439,0.3582153929,0.3695512880,0.3619593334,11923.4685468419,0.9997733013,0.0176869798,
138,0.9997789256,0.9997766266,0.9997808609,0.3637805436,0.3583246146,0.3688559285,0.3617423030,41893.1928693835,0.9997789256,0.0146911709,
139,0.9997815251,0.9997795601,0.9997829685,0.3634636211,0.3580217407,0.3687556894,0.3614466778,36022.1337684758,0.9997815251,0.0155034776,
140,0.9997841056,0.9997824669,0.9997856827,0.3649402271,0.3595025569,0.3694475127,0.3629448571,21880.2222594706,0.9997841056,0.0132808033,
141,0.9997876445,0.9997861109,0.9997887907,0.3643843649,0.3586199821,0.3690887684,0.3624182838,24590.0246908315,0.9997876445,0.0113680099,
142,0.9997902060,0.9997871304,0.9997927876,0.3634021117,0.3575110128,0.3684583142,0.3614592510,21492.7768936284,0.9997902060,0.0145873719,
143,0.9997929525,0.9997888856,0.9997959752,0.3633948070,0.3574430444,0.3683707201,0.3614740177,34722.0060567602,0.9997929525,0.0132198675,
144,0.9997949155,0.9997905874,0.9997984877,0.3629506620,0.3572624042,0.3676994321,0.3610467525,31489.4957065074,0.9997949155,0.0158857234,
145,0.9997983917,0.9997974749,0.9997993822,0.3630707783,0.3576015909,0.3675824387,0.3611940648,35898.6038770294,0.9997983917,0.0160312190,
146,0.9998025552,0.9998019905,0.9998032055,0.3623612124,0.3569984679,0.3668223486,0.3605195258,22947.5504238256,0.9998025552,0.0135462290,
147,0.9998026395,0.9998011441,0.9998047032,0.3626847412,0.3574542141,0.3671777558,0.3608457869,40238.0596444829,0.9998026395,0.0097646291,
148,0.9998063556,0.9998044853,0.9998079319,0.3627930627,0.3575725234,0.3671035650,0.3609826154,37173.8769329453,0.9998063556,0.0133936079,
149,0.9998080357,0.9998059759,0.9998098650,0.3623356702,0.3572942394,0.3663809313,0.3605405766,23003.9443574778,0.9998080357,0.0115407538,
150,0.9998104930,0.9998090925,0.9998122950,0.3617885158,0.3566977652,0.3660577935,0.3600156681,34753.0687793159,0.9998104930,0.0140249835,
151,0.9998142640,0.9998138776,0.9998146958,0.3612182722,0.3559195745,0.3657397997,0.3594758419,46333.0075298945,0.9998142640,0.0149001740,
