step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
12,0.9381258758,0.9266764317,0.9509291172,0.7147308572,0.6463976183,0.7652890234,0.4050701157,2.4487413311,0.9381258758,0.5699214935,
13,0.9520768531,0.9470978575,0.9580353003,0.6454715888,0.6194140539,0.6685798788,0.3888356841,2.4172576777,0.9520768531,0.5289369623,
14,0.9438000878,0.9344576797,0.9558901424,0.6668901670,0.6178984609,0.7194553199,0.3797368666,2.3904859193,0.9438000878,0.7625466287,
15,0.9486398856,0.9397116747,0.9584802713,0.6432277771,0.6035969009,0.6943389482,0.3744814376,2.3991259464,0.9486398856,0.3333487809,
16,0.9571715609,0.9530596929,0.9622896485,0.5970560960,0.5717478797,0.6293217628,0.3618003627,2.3776947721,0.9571715609,0.4164620340,
17,0.9630641890,0.9600674200,0.9668495016,0.5570709320,0.5356970549,0.5819647121,0.3501917324,2.3427768215,0.9630641890,0.4667187929,
18,0.9665807931,0.9643706160,0.9693540373,0.5408334998,0.5221734974,0.5612698205,0.3474225183,2.3615381527,0.9665807931,0.4554340045,
19,0.9724511449,0.9710065498,0.9738627625,0.5030477579,0.4889837425,0.5169025037,0.3366626513,2.3180315447,0.9724511449,0.4458524783,
20,0.9751217699,0.9748494453,0.9753639526,0.4819548678,0.4601820674,0.4996403842,0.3301785932,2.3253229109,0.9751217699,0.4109382927,
21,0.9760261679,0.9753968277,0.9765161552,0.4745841932,0.4526882443,0.4949548898,0.3262252253,2.3201334699,0.9760261679,0.3967763881,
22,0.9768384361,0.9762039280,0.9775726948,0.4672127791,0.4446774530,0.4864335098,0.3231688402,2.3230851364,0.9768384361,0.3178491195,
23,0.9777872856,0.9774347153,0.9781837749,0.4590922205,0.4399675336,0.4744760423,0.3202049750,2.3160793177,0.9777872856,0.3551427374,
24,0.9791113909,0.9788143234,0.9794948788,0.4479147490,0.4293942604,0.4624037952,0.3162959713,2.3099791145,0.9791113909,0.3305925230,
25,0.9798210549,0.9794022160,0.9802159386,0.4425939627,0.4241186399,0.4570397549,0.3143552099,2.3175570202,0.9798210549,0.3613208830,
26,0.9808536084,0.9806811399,0.9810122061,0.4362272338,0.4178739378,0.4516719668,0.3132433728,2.3126041079,0.9808536084,0.3318581780,
27,0.9820107142,0.9813228321,0.9826208973,0.4250939965,0.4031584280,0.4447466705,0.3081930830,2.2827981424,0.9820107142,0.4342277348,
28,0.9820935504,0.9814682627,0.9826461306,0.4240431408,0.4022345846,0.4432074335,0.3076993716,2.2959802675,0.9820935504,0.2373275335,
29,0.9825948008,0.9820341182,0.9831472926,0.4188356674,0.3978514893,0.4371770642,0.3053071282,2.3123471133,0.9825948008,0.3401992222,
30,0.9831031251,0.9826310315,0.9835271344,0.4140743665,0.3933795128,0.4321552935,0.3033139122,2.3367432102,0.9831031251,0.2677409450,
31,0.9835743515,0.9831521349,0.9839532309,0.4089714277,0.3881011617,0.4266633508,0.3010913199,2.2834129461,0.9835743515,0.3170351883,
32,0.9839852683,0.9835086880,0.9844227200,0.4048331543,0.3843931501,0.4222837217,0.2993961402,2.2725321500,0.9839852683,0.2641287645,
33,0.9846674887,0.9840517282,0.9852377443,0.3997450483,0.3775706913,0.4195130627,0.2981329387,2.2532045333,0.9846674887,0.3133861174,
34,0.9852101350,0.9846868806,0.9856366944,0.3945336044,0.3724787660,0.4132888999,0.2956125460,2.2577938477,0.9852101350,0.4476072093,
35,0.9854838800,0.9850326843,0.9858841972,0.3923482184,0.3703881602,0.4110518384,0.2946705248,2.3262375657,0.9854838800,0.3554965605,
36,0.9858591557,0.9853861780,0.9862949038,0.3879852382,0.3660936871,0.4065225449,0.2923066549,2.2681857189,0.9858591557,0.3379199306,
37,0.9861597196,0.9856251183,0.9866241474,0.3851355616,0.3628890560,0.4041997068,0.2914243444,2.2597715235,0.9861597196,0.2912535071,
38,0.9865590684,0.9860452056,0.9869840312,0.3807261848,0.3585347137,0.3997179794,0.2892709289,2.2552569230,0.9865590684,0.3613170187,
39,0.9869369499,0.9865294781,0.9872655945,0.3769367675,0.3546451313,0.3958044808,0.2876720456,2.2698783700,0.9869369499,0.3331640412,
40,0.9872607295,0.9868583951,0.9876311021,0.3737532194,0.3517634692,0.3925271163,0.2864964865,2.2330444860,0.9872607295,0.2761959732,
41,0.9875949423,0.9872302322,0.9879149685,0.3706377129,0.3492027378,0.3884945974,0.2851258298,2.2426792908,0.9875949423,0.3005324900,
