step,accuracy_mean,accuracy_q10,accuracy_q90,entropy_mean,entropy_q10,entropy_q90,true_cond_entropy_mean,false_cond_entropy_mean,true_mass_mean,loss_mean,reward_mean
85,0.9816058914,0.9717650747,0.9904878435,0.2087378622,0.1992491527,0.2200899733,0.1633242038,12585.6049828800,0.9816058914,0.0946587622,0.8750000000
86,0.9820166246,0.9716329904,0.9913272424,0.2051971673,0.1953311535,0.2173533257,0.1626424072,2836.5061722898,0.9820166246,0.1325604568,1.0000000000
87,0.9816746624,0.9714926901,0.9911948633,0.2084568873,0.1913184728,0.2232228841,0.1653250187,1186.0185180076,0.9816746624,0.2315541009,1.0000000000
88,0.9838904548,0.9766616602,0.9912850637,0.2039515287,0.1872783804,0.2239847627,0.1647739448,10228.7664162652,0.9838904548,0.1317609598,0.9270833333
89,0.9828604730,0.9762096415,0.9900357256,0.2043238646,0.1890884835,0.2246525981,0.1615532311,4817.8342442497,0.9828604730,0.1397990485,0.9791666667
90,0.9851933750,0.9789062424,0.9922594414,0.1817485988,0.1650217353,0.2040686585,0.1493375178,6166.1312039280,0.9851933750,0.0617615084,0.9791666667
91,0.9798515916,0.9701343107,0.9902929811,0.2056328497,0.1671557177,0.2590334744,0.1541000498,4777.8542827400,0.9798515916,0.0133890311,0.9583333333
92,0.9813152599,0.9720114498,0.9915363903,0.1954259461,0.1590926810,0.2447209273,0.1508982384,4423.5566028563,0.9813152599,0.1046592742,0.9895833333
93,0.9819499977,0.9736025496,0.9920747461,0.1944389442,0.1493047888,0.2466089708,0.1530981118,4141.4682484357,0.9819499977,0.1894851873,0.9583333333
94,0.9832108212,0.9715090179,0.9936318741,0.1995963984,0.1444563322,0.2679940610,0.1542532182,5437.8564359077,0.9832108212,0.0929137369,0.9479166667
95,0.9846615299,0.9751689920,0.9935351114,0.1835302662,0.1394328765,0.2342933864,0.1474489146,1830.2947596423,0.9846615299,0.1006423434,0.9479166667
96,0.9856791385,0.9768392148,0.9940669961,0.1815335463,0.1319519009,0.2430103974,0.1436341094,4986.0838088687,0.9856791385,0.0225559175,0.9166666667
97,0.9860954348,0.9778863459,0.9941848345,0.1780599437,0.1307780071,0.2349435860,0.1415359960,1305.7868976736,0.9860954348,0.1052797586,1.0000000000
98,0.9850863608,0.9775182471,0.9933273673,0.1826255832,0.1387692630,0.2282286007,0.1390530119,5360.4940380541,0.9850863608,0.2813787460,1.0000000000
99,0.9860440699,0.9782543888,0.9940916996,0.1773767687,0.1355542817,0.2251723633,0.1374216457,4773.1441747872,0.9860440699,0.1370553126,0.9583333333
100,0.9862506795,0.9786884193,0.9941578503,0.1731881650,0.1305682649,0.2208416776,0.1331953821,1566.2981632630,0.9862506795,0.1713618040,0.9895833333
101,0.9870220518,0.9797567053,0.9944560766,0.1674996244,0.1281727309,0.2130172982,0.1292620428,8853.3178495518,0.9870220518,0.1426405311,0.9375000000
102,0.9872595358,0.9804771700,0.9942634172,0.1634232799,0.1252304738,0.2069149802,0.1253481858,714.2333473698,0.9872595358,0.1563068628,1.0000000000
103,0.9877003352,0.9814211526,0.9945330777,0.1608934333,0.1262723545,0.1994258207,0.1241206563,1097.6864261325,0.9877003352,0.0395352940,0.9895833333
104,0.9896219778,0.9855597458,0.9947515068,0.1459246218,0.1205439715,0.1738064141,0.1214040785,1375.2944045417,0.9896219778,0.0431057612,0.9687500000
105,0.9899741745,0.9859969988,0.9951076670,0.1419804790,0.1192635385,0.1660627710,0.1201842171,5736.8795132685,0.9899741745,0.0213143031,1.0000000000
106,0.9899628735,0.9861305776,0.9949623590,0.1443330895,0.1251691180,0.1617571197,0.1215144122,1319.8661922725,0.9899628735,0.0759885858,0.9895833333
107,0.9898655629,0.9860117121,0.9949932356,0.1374936313,0.1187713628,0.1570902777,0.1177064395,1007.9120927111,0.9898655629,0.0419022739,0.9479166667
108,0.9901558026,0.9864032755,0.9951973410,0.1368694261,0.1193303902,0.1534443228,0.1192377917,7856.5060695314,0.9901558026,0.1192168097,1.0000000000
109,0.9899775283,0.9863334112,0.9950403700,0.1381682909,0.1154072517,0.1552785822,0.1196221258,535.8381494109,0.9899775283,0.1025008659,1.0000000000
110,0.9902336137,0.9864099398,0.9953169603,0.1349389191,0.1105525219,0.1569855282,0.1170796453,921.8267606338,0.9902336137,0.1609246482,0.9479166667
111,0.9901704248,0.9860861368,0.9954191637,0.1321715879,0.1131795675,0.1495881452,0.1135215091,914.0262327909,0.9901704248,0.0777178109,1.0000000000
112,0.9256999302,0.8320757475,0.9952653723,0.2998643370,0.1151298531,0.5435836195,0.1486400336,745.2012353071,0.9256999302,0.2832598090,1.0000000000
113,0.9262705795,0.8339086223,0.9947943492,0.3011432428,0.1292454497,0.5308211149,0.1458392632,6194.4610687860,0.9262705795,0.0139718801,0.9166666667
114,0.9871012298,0.9797254543,0.9947412567,0.1670578692,0.1351962459,0.2025863450,0.1327209659,3555.2769237645,0.9871012298,0.0278168172,0.8750000000
115,0.9872322782,0.9798064771,0.9949205041,0.1702228208,0.1348754425,0.2077861870,0.1369040343,8748.6096640937,0.9872322782,-0.0060052425,0.9583333333
116,0.9880848781,0.9825992999,0.9947575564,0.1631092056,0.1298776002,0.1922986417,0.1342750640,13256.1183156077,0.9880848781,0.0985629012,0.9791666667
117,0.9883679493,0.9832284856,0.9947570500,0.1581666981,0.1275470442,0.1830319345,0.1308418697,7848.0517178043,0.9883679493,0.0407402913,0.9062500000
